"Sno";"Division_SeatNo";"Member_ID";"Session";"State";"Constituency";"Total_Sittings";"Sittings_Attended";"Zone";"Percent_Attendance";"Exp_status";"If_Numeric_Percent_Attendance"
1;2;"MP1";13;"Maharashtra                                                 ";"Solapur";32;0;"Central";"0.0%";"Unexp";0
2;3;"MP2";13;"Uttar Pradesh                                               ";"Rae Barelii";32;18;"North";"56.3%";"Exp";1
3;15;"MP3";13;"Tamil Nadu                                                  ";"Chennai Central";32;19;"South";"59.4%";"Exp";1
4;16;"MP4";13;"Tamil Nadu                                                  ";"Nilgiris";32;23;"South";"71.9%";"Unexp";1
5;20;"MP5";13;"Tamil Nadu                                                  ";"Madurai";32;0;"South";"0.0%";"Exp";0
6;29;"MP6";13;"Uttarakhand                                                 ";"Hardwar";32;0;"North";"0.0%";"Unexp";0
7;30;"MP7";13;"Rajasthan                                                   ";"Jodhpur";32;0;"West";"0.0%";"Exp";0
8;46;"MP8";13;"Tamil Nadu                                                  ";"Thanjavur";32;0;"South";"0.0%";"Exp";0
9;49;"MP9";13;"Tamil Nadu                                                  ";"Perambalur";32;0;"South";"0.0%";"Exp";0
10;50;"MP10";13;"Tamil Nadu                                                  ";"Arakkonam";32;0;"South";"0.0%";"Exp";0
11;51;"MP11";13;"Tamil Nadu                                                  ";"Namakkal";32;0;"South";"0.0%";"Exp";0
12;53;"MP12";13;"Maharashtra                                                 ";"Sangli";32;0;"Central";"0.0%";"Exp";0
13;55;"MP13";13;"Kerala                                                      ";"Thiruvananthapuram";32;0;"South";"0.0%";"Exp";0
14;61;"MP14";13;"Uttar Pradesh                                               ";"Amethi";32;21;"North";"65.6%";"Unexp";1
15;65;"MP15";13;"Assam                                                       ";"Lakhimpur";32;0;"NE";"0.0%";"Exp";0
16;67;"MP16";13;"Arunachal Pradesh                                           ";"Arunachal East";32;0;"NE";"0.0%";"Exp";0
17;68;"MP17";13;"West Bengal                                                 ";"Raiganj";32;0;"East";"0.0%";"Unexp";0
18;71;"MP18";13;"Rajasthan                                                   ";"Jaipur Rural";32;0;"West";"0.0%";"Unexp";0
19;72;"MP19";13;"Delhi                                                       ";"East Delhi";32;28;"North";"87.5%";"Unexp";1
20;73;"MP20";13;"Tamil Nadu                                                  ";"Theni";32;22;"South";"68.8%";"Exp";1
21;74;"MP21";13;"Madhya Pradesh                                              ";"Khandwa";32;0;"Central";"0.0%";"Unexp";0
22;75;"MP22";13;"Haryana                                                     ";"Kurukshetra";32;25;"North";"78.1%";"Exp";1
23;76;"MP23";13;"Andhra Pradesh                                              ";"Nizamabad";32;23;"South";"71.9%";"Exp";1
24;77;"MP24";13;"Uttarakhand                                                 ";"Garhwal";32;24;"North";"75.0%";"Exp";1
25;78;"MP25";13;"Meghalaya                                                   ";"Shillong";32;0;"NE";"0.0%";"Exp";0
26;79;"MP26";13;"Jammu and Kashmir                                           ";"Jammu";32;31;"North";"96.9%";"Exp";1
27;80;"MP27";13;"Jammu and Kashmir                                           ";"Udhampur";32;21;"North";"65.6%";"Exp";1
28;81;"MP28";13;"Uttar Pradesh                                               ";"Moradabad";32;25;"North";"78.1%";"Exp";1
29;82;"MP29";13;"Lakshadweep                                                 ";"Lakshadweep";32;28;"South";"87.5%";"Exp";1
30;83;"MP30";13;"Haryana                                                     ";"Sirsa";32;24;"North";"75.0%";"Exp";1
31;84;"MP31";13;"Uttarakhand                                                 ";"Nainital-Udhamsingh Nagar";32;16;"North";"50.0%";"Unexp";1
32;85;"MP32";13;"Punjab                                                      ";"Sangrur";32;0;"North";"0.0%";"Unexp";0
33;86;"MP33";13;"Karnataka                                                   ";"Udupi Chikmagalur";32;11;"South";"34.4%";"Unexp";0
34;87;"MP34";13;"West Bengal                                                 ";"Jangipur";32;32;"East";"100.0%";"Unexp";0
35;88;"MP35";13;"Andhra Pradesh                                              ";"Anakapalli";32;19;"South";"59.4%";"Exp";1
36;89;"MP36";13;"Punjab                                                      ";"Anandpur Sahib";32;31;"North";"96.9%";"Unexp";1
37;90;"MP37";13;"Delhi                                                       ";"West Delhi";32;32;"North";"100.0%";"Unexp";0
38;91;"MP38";13;"Delhi                                                       ";"South Delhi";32;32;"North";"100.0%";"Exp";0
39;92;"MP39";13;"Assam                                                       ";"Barpeta";32;32;"NE";"100.0%";"Unexp";0
40;93;"MP40";13;"Bihar                                                       ";"Kishanganj";32;29;"East";"90.6%";"Exp";1
41;94;"MP41";13;"Arunachal Pradesh                                           ";"Arunachal West";32;18;"NE";"56.3%";"Unexp";1
42;95;"MP42";13;"Rajasthan                                                   ";"Sikar";32;23;"West";"71.9%";"Exp";1
43;97;"MP43";13;"Tamil Nadu                                                  ";"Kancheepuram";32;28;"South";"87.5%";"Unexp";1
44;98;"MP44";13;"Rajasthan                                                   ";"Jhunjhunu";32;27;"West";"84.4%";"Exp";1
45;99;"MP45";13;"Tamil Nadu                                                  ";"Sriperumbudur";32;28;"South";"87.5%";"Exp";1
46;100;"MP46";13;"Maharashtra                                                 ";"Nagpur";32;27;"Central";"84.4%";"Exp";1
47;101;"MP47";13;"Maharashtra                                                 ";"Nandurbar";32;0;"Central";"0.0%";"Unexp";0
48;102;"MP48";13;"Maharashtra                                                 ";"Pune";32;20;"Central";"62.5%";"Unexp";1
49;103;"MP49";13;"Assam                                                       ";"Jorhat";32;0;"NE";"0.0%";"Exp";0
50;104;"MP50";13;"Andhra Pradesh                                              ";"Rajampet";32;30;"South";"93.8%";"Exp";1
51;105;"MP51";13;"Maharashtra                                                 ";"Mumbai-North-West";32;0;"Central";"0.0%";"Exp";0
52;106;"MP52";13;"Andhra Pradesh                                              ";"Tirupati";32;28;"South";"87.5%";"Exp";1
53;107;"MP53";13;"Assam                                                       ";"Autonomous District";32;31;"NE";"96.9%";"Unexp";1
54;108;"MP54";13;"Andhra Pradesh                                              ";"Eluru";32;29;"South";"90.6%";"Exp";1
55;109;"MP55";13;"Madhya Pradesh                                              ";"Ratlam";32;0;"Central";"0.0%";"Exp";0
56;110;"MP56";13;"Delhi                                                       ";"North East Delhi";32;31;"North";"96.9%";"Exp";1
57;112;"MP57";13;"Maharashtra                                                 ";"Wardha";32;28;"Central";"87.5%";"Exp";1
58;113;"MP58";13;"Andhra Pradesh                                              ";"Guntur";32;13;"South";"40.6%";"Exp";0
59;114;"MP59";13;"Uttar Pradesh                                               ";"Salempur";32;23;"North";"71.9%";"Exp";1
60;115;"MP60";13;"Andhra Pradesh                                              ";"Nagarkurnool";32;30;"South";"93.8%";"Exp";1
61;116;"MP61";13;"Andhra Pradesh                                              ";"Anantapur";32;29;"South";"90.6%";"Exp";1
62;117;"MP62";13;"Gujarat                                                     ";"Surendranagar";32;28;"West";"87.5%";"Exp";1
63;118;"MP63";13;"Haryana                                                     ";"Faridabad";32;17;"North";"53.1%";"Unexp";1
